seq_1|482 #E41A1C ccrCn6
seq_2|345 #E41A1C ccrCn6
seq_3|91 #E41A1C ccrCn6
seq_4|89 #377EB8 ccrCn1
seq_5|80 #E41A1C ccrCn6
seq_6|46 #E41A1C ccrCn6
seq_7|42 #E41A1C ccrCn6
seq_8|41 #E41A1C ccrCn6
seq_9|38 #E41A1C ccrCn6
seq_10|34 #E41A1C ccrCn6
seq_11|34 #E41A1C ccrCn6
seq_12|33 #E41A1C ccrCn6
seq_13|21 #E41A1C ccrCn6
seq_14|17 #E41A1C ccrCn6
seq_15|16 #377EB8 ccrCn1
seq_16|13 #E41A1C ccrCn6
seq_17|13 #4DAF4A ccrCn5
seq_18|12 #E41A1C ccrCn6
seq_19|12 #E41A1C ccrCn6
seq_20|10 #E41A1C ccrCn6
seq_21|9 #E41A1C ccrCn6
seq_22|8 #E41A1C ccrCn6
seq_23|8 #E41A1C ccrCn6
seq_24|8 #E41A1C ccrCn6
seq_25|8 #E41A1C ccrCn6
seq_26|7 #E41A1C ccrCn6
seq_27|7 #E41A1C ccrCn6
seq_28|6 #E41A1C ccrCn6
seq_29|6 #E41A1C ccrCn6
seq_30|6 #E41A1C ccrCn6
seq_31|6 #E41A1C ccrCn6
seq_32|6 #E41A1C ccrCn6
seq_33|6 #984EA3 ccrCn3
seq_34|5 #E41A1C ccrCn6
seq_35|5 #E41A1C ccrCn6
seq_36|5 #E41A1C ccrCn6
seq_37|5 #E41A1C ccrCn6
seq_38|5 #E41A1C ccrCn6
seq_39|5 #FF7F00 ccrCn4
seq_40|4 #E41A1C ccrCn6
seq_41|4 #E41A1C ccrCn6
seq_42|4 #E41A1C ccrCn6
seq_43|4 #E41A1C ccrCn6
seq_44|4 #E41A1C ccrCn6
seq_45|4 #E41A1C ccrCn6
seq_46|4 #E41A1C ccrCn6
seq_47|4 #E41A1C ccrCn6
seq_48|4 #E41A1C ccrCn6
seq_49|3 #E41A1C ccrCn6
seq_50|3 #E41A1C ccrCn6
seq_51|3 #E41A1C ccrCn6
seq_52|3 #E41A1C ccrCn6
seq_53|3 #E41A1C ccrCn6
seq_54|3 #E41A1C ccrCn6
seq_55|3 #E41A1C ccrCn6
seq_56|3 #E41A1C ccrCn6
seq_57|3 #E41A1C ccrCn6
seq_58|3 #E41A1C ccrCn6
seq_59|3 #E41A1C ccrCn6
seq_60|3 #E41A1C ccrCn6
seq_61|3 #E41A1C ccrCn6
seq_62|3 #E41A1C ccrCn6
seq_63|3 #E41A1C ccrCn6
seq_64|3 #E41A1C ccrCn6
seq_65|3 #E41A1C ccrCn6
seq_66|3 #E41A1C ccrCn6
seq_67|3 #FF7F00 ccrCn4
seq_68|2 #E41A1C ccrCn6
seq_69|2 #E41A1C ccrCn6
seq_70|2 #E41A1C ccrCn6
seq_71|2 #E41A1C ccrCn6
seq_72|2 #E41A1C ccrCn6
seq_73|2 #E41A1C ccrCn6
seq_74|2 #E41A1C ccrCn6
seq_75|2 #E41A1C ccrCn6
seq_76|2 #E41A1C ccrCn6
seq_77|2 #E41A1C ccrCn6
seq_78|2 #E41A1C ccrCn6
seq_79|2 #E41A1C ccrCn6
seq_80|2 #E41A1C ccrCn6
seq_81|2 #E41A1C ccrCn6
seq_82|2 #E41A1C ccrCn6
seq_83|2 #E41A1C ccrCn6
seq_84|2 #E41A1C ccrCn6
seq_85|2 #E41A1C ccrCn6
seq_86|2 #E41A1C ccrCn6
seq_87|2 #E41A1C ccrCn6
seq_88|2 #E41A1C ccrCn6
seq_89|2 #E41A1C ccrCn6
seq_90|2 #E41A1C ccrCn6
seq_91|2 #E41A1C ccrCn6
seq_92|2 #E41A1C ccrCn6
seq_93|2 #E41A1C ccrCn6
seq_94|2 #E41A1C ccrCn6
seq_95|2 #E41A1C ccrCn6
seq_96|2 #E41A1C ccrCn6
seq_97|2 #E41A1C ccrCn6
seq_98|2 #E41A1C ccrCn6
seq_99|2 #E41A1C ccrCn6
seq_100|2 #E41A1C ccrCn6
seq_101|2 #E41A1C ccrCn6
seq_102|2 #E41A1C ccrCn6
seq_103|2 #E41A1C ccrCn6
seq_104|2 #E41A1C ccrCn6
seq_105|2 #E41A1C ccrCn6
seq_106|2 #377EB8 ccrCn1
seq_107|2 #377EB8 ccrCn1
seq_108|2 #377EB8 ccrCn1
seq_109|2 #377EB8 ccrCn1
seq_110|2 #984EA3 ccrCn3
seq_111|2 #FF7F00 ccrCn4
seq_112|2 #FF7F00 ccrCn4
seq_113|2 #FF7F00 ccrCn4
seq_114|1 #E41A1C ccrCn6
seq_115|1 #E41A1C ccrCn6
seq_116|1 #E41A1C ccrCn6
seq_117|1 #E41A1C ccrCn6
seq_118|1 #E41A1C ccrCn6
seq_119|1 #E41A1C ccrCn6
seq_120|1 #E41A1C ccrCn6
seq_121|1 #E41A1C ccrCn6
seq_122|1 #E41A1C ccrCn6
seq_123|1 #E41A1C ccrCn6
seq_124|1 #E41A1C ccrCn6
seq_125|1 #E41A1C ccrCn6
seq_126|1 #E41A1C ccrCn6
seq_127|1 #E41A1C ccrCn6
seq_128|1 #E41A1C ccrCn6
seq_129|1 #E41A1C ccrCn6
seq_130|1 #E41A1C ccrCn6
seq_131|1 #E41A1C ccrCn6
seq_132|1 #E41A1C ccrCn6
seq_133|1 #E41A1C ccrCn6
seq_134|1 #E41A1C ccrCn6
seq_135|1 #E41A1C ccrCn6
seq_136|1 #E41A1C ccrCn6
seq_137|1 #E41A1C ccrCn6
seq_138|1 #E41A1C ccrCn6
seq_139|1 #E41A1C ccrCn6
seq_140|1 #E41A1C ccrCn6
seq_141|1 #E41A1C ccrCn6
seq_142|1 #E41A1C ccrCn6
seq_143|1 #E41A1C ccrCn6
seq_144|1 #E41A1C ccrCn6
seq_145|1 #E41A1C ccrCn6
seq_146|1 #E41A1C ccrCn6
seq_147|1 #E41A1C ccrCn6
seq_148|1 #E41A1C ccrCn6
