Species	Original	Failing_contig_requirement	Failing_genome_size_requirement	Failing_any_requirement	Final_remaining
1	agnetis	26	1	0	1	25
2	argensis	8	1	1	1	7
3	argenteus	142	1	1	2	140
4	arlettae	25	5	0	5	20
5	aureus	10784	146	47	180	10604
6	auricularis	6	1	0	1	5
7	capitis	81	5	2	5	76
8	caprae	10	0	0	0	10
9	carnosus	9	1	0	1	8
10	chromogenes	99	2	1	3	96
11	cohnii	64	9	4	13	51
12	condimenti	8	2	0	2	6
13	cornubiensis	1	0	1	1	0
14	delphini	19	0	0	0	19
15	devriesei	10	1	0	1	9
16	edaphicus	1	0	1	1	0
17	epidermidis	719	50	7	52	667
18	equorum	41	4	0	4	37
19	felis	29	2	1	2	27
20	fleurettii	5	1	1	1	4
21	gallinarum	25	9	1	9	16
22	haemolyticus	254	10	8	14	240
23	hominis	110	9	3	12	98
24	hyicus	6	0	0	0	6
25	intermedius	8	0	0	0	8
26	kloosii	6	0	0	0	6
27	lentus	9	0	0	0	9
28	lugdunensis	30	1	0	1	29
29	lutrae	2	0	0	0	2
30	massiliensis	3	0	0	0	3
31	microti	3	0	0	0	3
32	muscae	3	0	0	0	3
33	nepalensis	8	2	1	2	6
34	pasteuri	17	2	0	3	14
35	petrasii	10	0	0	0	10
36	pettenkoferi	18	1	1	2	16
37	piscifermentans	3	0	0	0	3
38	pseudintermedius	226	35	1	35	191
39	pseudoxylosus	1	0	1	1	0
40	rostri	1	0	1	1	0
41	saccharolyticus	11	0	2	2	9
42	saprophyticus	97	6	3	7	90
43	schleiferi	10	0	1	1	9
44	schweitzeri	3	0	0	0	3
45	sciuri	52	7	0	7	45
46	simiae	3	1	0	1	2
47	simulans	63	3	1	4	59
48	stepanovicii	2	0	0	0	2
49	succinus	20	4	1	4	16
50	vitulinus	9	1	0	1	8
51	warneri	65	6	0	6	59
52	xylosus	58	7	0	7	51
