DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL	1_species

#dataset color (can be changed later)
COLOR	#ff0000


#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES	0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE	Species
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#dd0d0d	#0b0d89	#029600	#a6cee3	#0ccad1	#ef86e6	#a6ada6	#f9c507	#cab2d6	#b2df8a	#664700	#7F1D6C	#f7850a	#656516	#000000
LEGEND_LABELS	aureus	epidermidis	haemolyticus	pseudintermedius	capitis	hominis	argenteus	equorum	carnosus	saprophyticus	Other	arlettae	chromogenes	cohnii	IWG


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
STRIP_WIDTH	30


#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN	0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH	0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL	0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)
#9606 #ff0000 Human

#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed. 
#9606|5664 rgba(0,255,0,0.5)


seq_1|2447	#dd0d0d
seq_2|2024	#dd0d0d
seq_3|1330	#dd0d0d
seq_4|370	#dd0d0d
seq_5|334	#dd0d0d
seq_6|283	#dd0d0d
seq_7|255	#dd0d0d
seq_8|202	#dd0d0d
seq_9|63	#dd0d0d
seq_10|58	#0b0d89
seq_11|54	#dd0d0d
seq_13|40	#dd0d0d
seq_12|41	#029600
seq_14|39	#0b0d89
seq_15|36	#dd0d0d
seq_16|32	#dd0d0d
seq_18|20	#dd0d0d
seq_17|21	#029600
seq_19|17	#dd0d0d
seq_20|16	#dd0d0d
seq_21|16	#dd0d0d
seq_24|15	#dd0d0d
seq_22|15	#dd0d0d
seq_23|15	#0ccad1
seq_25|14	#dd0d0d
seq_31|12	#dd0d0d
seq_28|13	#029600
seq_26|13	#dd0d0d
seq_27|13	#dd0d0d
seq_29|12	#dd0d0d
seq_30|12	#dd0d0d
seq_34|11	#029600
seq_32|11	#dd0d0d
seq_33|11	#0ccad1
seq_35|11	#f7850a
seq_41|9	#dd0d0d
seq_37|10	#dd0d0d
seq_38|10	#dd0d0d
seq_39|10	#0b0d89
seq_36|10	#a6cee3
seq_40|10	#f7850a
seq_43|8	#dd0d0d
seq_42|9	#dd0d0d
seq_44|8	#0b0d89
seq_46|7	#0b0d89
seq_45|7	#dd0d0d
seq_47|7	#dd0d0d
seq_52|7	#dd0d0d
seq_48|7	#dd0d0d
seq_49|7	#dd0d0d
seq_50|7	#dd0d0d
seq_51|7	#664700
seq_68|5	#dd0d0d
seq_69|5	#0b0d89
seq_63|6	#dd0d0d
seq_64|6	#ef86e6
seq_53|6	#dd0d0d
seq_55|6	#dd0d0d
seq_56|6	#0b0d89
seq_57|6	#dd0d0d
seq_58|6	#dd0d0d
seq_59|6	#dd0d0d
seq_60|6	#dd0d0d
seq_61|6	#dd0d0d
seq_62|6	#dd0d0d
seq_54|6	#f7850a
seq_65|5	#ef86e6
seq_66|5	#029600
seq_74|5	#029600
seq_76|5	#dd0d0d
seq_78|5	#dd0d0d
seq_75|5	#dd0d0d
seq_70|5	#dd0d0d
seq_71|5	#dd0d0d
seq_72|5	#dd0d0d
seq_73|5	#dd0d0d
seq_67|5	#7F1D6C
seq_77|5	#656516
seq_130|2	#000000
seq_84|4	#ef86e6
seq_80|4	#0b0d89
seq_87|4	#0b0d89
seq_85|4	#0b0d89
seq_81|4	#dd0d0d
seq_82|4	#dd0d0d
seq_83|4	#dd0d0d
seq_86|4	#dd0d0d
seq_88|4	#f7850a
seq_89|4	#f7850a
seq_79|4	#664700
seq_120|2	#ef86e6
seq_149|2	#dd0d0d
seq_90|3	#029600
seq_108|3	#ef86e6
seq_109|3	#ef86e6
seq_110|3	#ef86e6
seq_91|3	#029600
seq_111|3	#0b0d89
seq_112|3	#029600
seq_95|3	#dd0d0d
seq_116|3	#0b0d89
seq_96|3	#0b0d89
seq_97|3	#dd0d0d
seq_92|3	#dd0d0d
seq_93|3	#dd0d0d
seq_94|3	#dd0d0d
seq_118|3	#dd0d0d
seq_98|3	#dd0d0d
seq_99|3	#dd0d0d
seq_100|3	#dd0d0d
seq_101|3	#dd0d0d
seq_102|3	#dd0d0d
seq_103|3	#dd0d0d
seq_104|3	#dd0d0d
seq_105|3	#dd0d0d
seq_107|3	#dd0d0d
seq_106|3	#0ccad1
seq_119|3	#f7850a
seq_117|3	#664700
seq_114|3	#7F1D6C
seq_115|3	#664700
seq_113|3	#664700
seq_226|1	#000000
seq_227|1	#000000
seq_228|1	#000000
seq_229|1	#000000
seq_230|1	#000000
seq_347|1	#000000
seq_367|1	#000000
seq_121|2	#029600
seq_122|2	#029600
seq_131|2	#ef86e6
seq_150|2	#ef86e6
seq_163|2	#dd0d0d
seq_168|2	#029600
seq_160|2	#029600
seq_151|2	#029600
seq_152|2	#029600
seq_169|2	#0b0d89
seq_132|2	#0b0d89
seq_133|2	#0b0d89
seq_134|2	#0b0d89
seq_135|2	#0b0d89
seq_153|2	#0b0d89
seq_136|2	#0b0d89
seq_123|2	#dd0d0d
seq_164|2	#dd0d0d
seq_165|2	#dd0d0d
seq_137|2	#dd0d0d
seq_154|2	#dd0d0d
seq_138|2	#dd0d0d
seq_139|2	#dd0d0d
seq_140|2	#dd0d0d
seq_141|2	#dd0d0d
seq_142|2	#dd0d0d
seq_143|2	#dd0d0d
seq_144|2	#dd0d0d
seq_145|2	#dd0d0d
seq_146|2	#dd0d0d
seq_147|2	#dd0d0d
seq_155|2	#dd0d0d
seq_161|2	#f9c507
seq_124|2	#0ccad1
seq_171|2	#f7850a
seq_172|2	#f7850a
seq_173|2	#f7850a
seq_174|2	#f7850a
seq_162|2	#b2df8a
seq_125|2	#656516
seq_126|2	#b2df8a
seq_127|2	#b2df8a
seq_166|2	#b2df8a
seq_156|2	#b2df8a
seq_128|2	#7F1D6C
seq_129|2	#664700
seq_167|2	#664700
seq_158|2	#664700
seq_157|2	#664700
seq_159|2	#664700
seq_148|2	#a6ada6
seq_170|2	#664700
seq_175|1	#ef86e6
seq_441|1	#ef86e6
seq_442|1	#ef86e6
seq_443|1	#ef86e6
seq_398|1	#ef86e6
seq_348|1	#ef86e6
seq_349|1	#ef86e6
