DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
#DATASET_LABEL label1
#DATASET_LABEL label1
DATASET_LABEL ccrA_allotype_82

#dataset color (can be changed later)
#COLOR #ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1
LEGEND_COLORS #A6CEE3 #1F78B4 #B2DF8A #33A02C #FB9A99 #E31A1C #FDBF6F #FF7F00 #CAB2D6 #6A3D9A #FFFF99 #B15928 #d9d9d9
#LEGEND_LABELS ccrA ccrB ccrC ccrN1 ccrN2 ccrN3 ccrN4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
#STRIP_WIDTH 25

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)
#9606 #ff0000 Human

#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed. 
#9606|5664 rgba(0,255,0,0.5)
seq_1|2447 #61d2ff ccrA2
seq_2|2024 #61d2ff ccrA2
seq_3|1330 #61d2ff ccrA2
seq_4|370 #468bfa ccrA3
seq_5|334 #030bfc ccrA4
seq_6|283 #63ff7d ccrA1
seq_7|255 #61d2ff ccrA2
seq_8|202 #61d2ff ccrA2
seq_9|63 #61d2ff ccrA2
seq_10|58 #61d2ff ccrA2
seq_11|54 #61d2ff ccrA2
seq_12|41 #030bfc ccrA4
seq_13|40 #61d2ff ccrA2
seq_14|39 #030bfc ccrA4
seq_15|36 #63ff7d ccrA1
seq_16|32 #63ff7d ccrA1
seq_17|21 #23db64 ccrAn12
seq_18|20 #030bfc ccrA4
seq_19|17 #009133 ccrAn14
seq_20|16 #61d2ff ccrA2
seq_21|16 #61d2ff ccrA2
seq_22|15 #61d2ff ccrA2
seq_23|15 #61d2ff ccrA2
seq_24|15 #009133 ccrAn14
seq_25|14 #61d2ff ccrA2
seq_26|13 #61d2ff ccrA2
seq_27|13 #ff9999 ccrAn15
seq_28|13 #f03232 ccrAn16
seq_29|12 #63ff7d ccrA1
seq_30|12 #63ff7d ccrA1
seq_31|12 #61d2ff ccrA2
seq_32|11 #63ff7d ccrA1
seq_33|11 #63ff7d ccrA1
seq_34|11 #030bfc ccrA4
seq_35|11 #f03232 ccrAn16
seq_36|10 #63ff7d ccrA1
seq_37|10 #61d2ff ccrA2
seq_38|10 #61d2ff ccrA2
seq_39|10 #030bfc ccrA4
seq_40|10 #f03232 ccrAn16
seq_41|9 #63ff7d ccrA1
seq_42|9 #61d2ff ccrA2
seq_43|8 #61d2ff ccrA2
seq_44|8 #030bfc ccrA4
seq_45|7 #63ff7d ccrA1
seq_46|7 #61d2ff ccrA2
seq_47|7 #61d2ff ccrA2
seq_48|7 #61d2ff ccrA2
seq_49|7 #61d2ff ccrA2
seq_50|7 #030bfc ccrA4
seq_51|7 #030bfc ccrA4
seq_52|7 #23db64 ccrAn12
seq_53|6 #63ff7d ccrA1
seq_54|6 #63ff7d ccrA1
seq_55|6 #61d2ff ccrA2
seq_56|6 #61d2ff ccrA2
seq_57|6 #61d2ff ccrA2
seq_58|6 #61d2ff ccrA2
seq_59|6 #61d2ff ccrA2
seq_60|6 #61d2ff ccrA2
seq_61|6 #61d2ff ccrA2
seq_62|6 #61d2ff ccrA2
seq_63|6 #030bfc ccrA4
seq_64|6 #030bfc ccrA4
seq_65|5 #63ff7d ccrA1
seq_66|5 #63ff7d ccrA1
seq_67|5 #63ff7d ccrA1
seq_68|5 #61d2ff ccrA2
seq_69|5 #61d2ff ccrA2
