IS431s_start	IS431s_len	IS431s_end	IS431s_dir	IS1272s_start	IS1272s_len	IS1272s_end	IS1272s_dir	mecI_start	mecI_len	mecI_end	mecI_dir	mecR_start	mecR_len	mecR_end	mecR_dir	mecA_start	mecA_len	mecA_end	mecA_dir	IS431e_start	IS431e_len	IS431e_end	IS431e_dir	assembly	GCF_ID	contig	species	contig_length	assembly_strand	mecA_to_end_length	end_length	mecR_to_end_length	mecR_end_length	mecR_len_simple	mecI_present	IS1272_present	IS431s_present	mecR_type	ISs_status	mec_class	mec_class_inferred	ccrA_count	ccrB_count	ccrC_count	ccrA_types	ccrB_types	ccrC_types	mecA_count
1069654	675	1070328	<	-	-	-	-	-	-	-	-	1069506	108	>1069613	<	1067400	2010	1069409	>	1064070	675	1064744	>	GCF_004026205.1_ASM40262	004026205.1	NZ_CP035007.1	Staphylococcus_schleiferi	2539409	minus	1470000	5000	1469796	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	2
1069654	675	1070328	<	-	-	-	-	-	-	-	-	1069506	108	>1069613	<	1067400	2010	1069409	>	1064070	675	1064744	>	GCF_004026205.1_ASM40262	004026205.1	NZ_CP035007.1	Staphylococcus_schleiferi	2539409	minus	1470000	5000	1469796	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	2
54744	675	55418	<	-	-	-	-	-	-	-	-	-	-	-	-	52490	2010	54499	>	49160	675	49834	>	GCF_001548255.1_ASM15482	001548255.1	NZ_AP014944.1	Staphylococcus_schleiferi	2528077	minus	2473578	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	2	-	-	ccrC1,ccrC1	1
146050	675	146724	<	-	-	-	-	-	-	-	-	145902	108	>146009	<	143796	2010	145805	>	140506	675	141180	>	GCF_006382505.1_ASM63825	006382505.1	NZ_QGPS01000001.1	Staphylococcus_pseudintermedius	340007	minus	194202	5000	193998	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
33755	675	34429	<	-	-	-	-	-	-	-	-	33607	108	>33714	<	31501	2010	33510	>	28171	675	28845	>	GCF_006382445.1_ASM63824	006382445.1	NZ_QGPP01000002.1	Staphylococcus_pseudintermedius	85542	minus	52032	5000	51828	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
3910	675	4584	<	-	-	-	-	-	-	-	-	3762	108	>3869	<	1656	2010	3665	>	-	-	-	-	GCF_007050535.1_ASM70505	007050535.1	NZ_QMHU01000034.1	Staphylococcus_pseudintermedius	16610	minus	12945	5000	12741	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
12038	675	12712	<	-	-	-	-	-	-	-	-	<12753	108	12860	<	12957	2010	14966	>	-	-	-	-	GCF_007050525.1_ASM70505	007050525.1	NZ_QMHT01000029.1	Staphylococcus_pseudintermedius	16610	plus	12957	5000	12753	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
15953	675	16627	<	-	-	-	-	-	-	-	-	15805	108	>15912	<	13699	2010	15708	>	10409	675	11083	>	GCF_006406245.1_ASM64062	006406245.1	NZ_QGOY01000001.1	Staphylococcus_pseudintermedius	56313	minus	40605	5000	40401	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	222	2010	2231	>	-	-	-	-	GCF_009183675.1_ASM91836	009183675.1	NZ_WEIP01000063.1	Staphylococcus_pseudintermedius	3852	plus	222	222	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
11888	675	12562	<	-	-	-	-	-	-	-	-	<12603	108	12710	<	12807	2010	14816	>	-	-	-	-	GCF_007050545.1_ASM70505	007050545.1	NZ_QMHS01000028.1	Staphylococcus_pseudintermedius	16610	plus	12807	5000	12603	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
