"IS431s_start" "IS431s_len" "IS431s_end" "IS431s_dir" "IS1272s_start" "IS1272s_len" "IS1272s_end" "IS1272s_dir" "mecI_start" "mecI_len" "mecI_end" "mecI_dir" "mecR_start" "mecR_len" "mecR_end" "mecR_dir" "mecA_start" "mecA_len" "mecA_end" "mecA_dir" "IS431e_start" "IS431e_len" "IS431e_end" "IS431e_dir" "IS431_10bp" "assembly" "GCF_ID" "contig" "species" "contig_length" "assembly_strand" "mecA_to_end_length" "end_length" "mecR_to_end_length" "mecR_end_length" "mecR_len_simple" "mecI_present" "IS1272_present" "IS431s_present" "mecR_type" "ISs_status" "mec_class" "mec_class_inferred"
"1" "1069654" "675" "1070328" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1069506" "92" "1069597" "<" "1067400" "2010" "1069409" ">" "1064070" "675" "1064744" ">" "1" "GCF_004026205.1_ASM40262" "GCF_004026205.1" "NZ_CP035007.1" "Staphylococcus_schleiferi" 2539409 "minus" 1470000 5000 1469812 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"2" "1069654" "675" "1070328" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1069506" "92" "1069597" "<" "1067400" "2010" "1069409" ">" "1064070" "675" "1064744" ">" "1" "GCF_004026205.1_ASM40262" "GCF_004026205.1" "NZ_CP035007.1" "Staphylococcus_schleiferi" 2539409 "minus" 1470000 5000 1469812 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"3" "54744" "675" "55418" "<" "-" "-" "-" "-" "-" "-" "-" "-" "54596" "92" "54687" "<" "52490" "2010" "54499" ">" "49160" "675" "49834" ">" "1" "GCF_001548255.1_ASM15482" "GCF_001548255.1" "NZ_AP014944.1" "Staphylococcus_schleiferi" 2528077 "minus" 2473578 5000 2473390 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"4" "146050" "675" "146724" "<" "-" "-" "-" "-" "-" "-" "-" "-" "145902" "92" "145993" "<" "143796" "2010" "145805" ">" "140506" "675" "141180" ">" "1" "GCF_006382505.1_ASM63825" "GCF_006382505.1" "NZ_QGPS01000001.1" "Staphylococcus_pseudintermedius" 340007 "minus" 194202 5000 194014 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"5" "33755" "675" "34429" "<" "-" "-" "-" "-" "-" "-" "-" "-" "33607" "92" "33698" "<" "31501" "2010" "33510" ">" "28171" "675" "28845" ">" "1" "GCF_006382445.1_ASM63824" "GCF_006382445.1" "NZ_QGPP01000002.1" "Staphylococcus_pseudintermedius" 85542 "minus" 52032 5000 51844 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"6" "3910" "675" "4584" "<" "-" "-" "-" "-" "-" "-" "-" "-" "3762" "92" "3853" "<" "1656" "2010" "3665" ">" "-" "-" "-" "-" "1" "GCF_007050535.1_ASM70505" "GCF_007050535.1" "NZ_QMHU01000034.1" "Staphylococcus_pseudintermedius" 16610 "minus" 12945 5000 12757 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"7" "12038" "675" "12712" "<" "-" "-" "-" "-" "-" "-" "-" "-" "12769" "92" "12860" "<" "12957" "2010" "14966" ">" "-" "-" "-" "-" "1" "GCF_007050525.1_ASM70505" "GCF_007050525.1" "NZ_QMHT01000029.1" "Staphylococcus_pseudintermedius" 16610 "plus" 12957 5000 12769 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"8" "15953" "675" "16627" "<" "-" "-" "-" "-" "-" "-" "-" "-" "15805" "92" "15896" "<" "13699" "2010" "15708" ">" "10409" "675" "11083" ">" "1" "GCF_006406245.1_ASM64062" "GCF_006406245.1" "NZ_QGOY01000001.1" "Staphylococcus_pseudintermedius" 56313 "minus" 40605 5000 40417 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"9" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "34" "92" "125" "<" "222" "2010" "2231" ">" "-" "-" "-" "-" "0" "GCF_009183675.1_ASM91836" "GCF_009183675.1" "NZ_WEIP01000063.1" "Staphylococcus_pseudintermedius" 3852 "plus" 222 222 34 34 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"10" "11888" "675" "12562" "<" "-" "-" "-" "-" "-" "-" "-" "-" "12619" "92" "12710" "<" "12807" "2010" "14816" ">" "-" "-" "-" "-" "1" "GCF_007050545.1_ASM70505" "GCF_007050545.1" "NZ_QMHS01000028.1" "Staphylococcus_pseudintermedius" 16610 "plus" 12807 5000 12619 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"11" "33715" "675" "34389" "<" "-" "-" "-" "-" "-" "-" "-" "-" "33567" "92" "33658" "<" "31461" "2010" "33470" ">" "28171" "675" "28845" ">" "1" "GCF_004794855.1_ASM47948" "GCF_004794855.1" "NZ_QGPK01000002.1" "Staphylococcus_pseudintermedius" 78393 "minus" 44923 5000 44735 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"12" "132628" "675" "133302" "<" "-" "-" "-" "-" "-" "-" "-" "-" "132480" "92" "132571" "<" "130374" "2010" "132383" ">" "127084" "675" "127758" ">" "1" "GCF_004166385.1_ASM41663" "GCF_004166385.1" "NZ_QHIA01000001.1" "Staphylococcus_pseudintermedius" 296854 "minus" 164471 5000 164283 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
