seq_5|2468 #61d2ff ccrA2
seq_8|1979 #61d2ff ccrA2
seq_9|1200 #61d2ff ccrA2
seq_10|1105 #468bfa ccrA1
seq_11|937 #030bfc ccrA3
seq_18|325 #63ff7d ccrA4
seq_19|261 #61d2ff ccrA2
seq_22|178 #61d2ff ccrA2
seq_23|171 #468bfa ccrA1
seq_26|135 #61d2ff ccrA2
seq_28|113 #468bfa ccrA1
seq_30|105 #23db64 ccrAn12
seq_42|71 #61d2ff ccrA2
seq_43|69 #009133 ccrA5
seq_46|64 #23db64 ccrAn12
seq_51|60 #61d2ff ccrA2
seq_55|56 #468bfa ccrA1
seq_57|55 #ff9999 ccrAn9
seq_59|54 #61d2ff ccrA2
seq_62|52 #468bfa ccrA1
seq_65|48 #468bfa ccrA1
seq_67|48 #468bfa ccrA1
seq_72|42 #61d2ff ccrA2
seq_77|40 #63ff7d ccrA4
seq_83|39 #63ff7d ccrA4
seq_89|35 #468bfa ccrA1
seq_90|33 #468bfa ccrA1
seq_92|31 #468bfa ccrA1
seq_94|30 #468bfa ccrA1
seq_98|28 #f03232 ccrAn6
seq_106|26 #61d2ff ccrA2
seq_109|24 #468bfa ccrA1
seq_115|24 #23db64 ccrAn12
seq_123|21 #009133 ccrA5
seq_127|20 #468bfa ccrA1
seq_130|20 #f03232 ccrAn6
seq_132|19 #61d2ff ccrA2
seq_133|18 #63ff7d ccrA4
seq_149|18 #468bfa ccrA1
seq_173|15 #61d2ff ccrA2
seq_174|15 #61d2ff ccrA2
seq_177|15 #61d2ff ccrA2
seq_183|15 #ff9999 ccrAn9
seq_184|15 #468bfa ccrA1
seq_187|14 #61d2ff ccrA2
seq_194|13 #61d2ff ccrA2
seq_196|13 #63ff7d ccrA4
seq_197|12 #468bfa ccrA1
seq_202|12 #f03232 ccrAn6
seq_203|12 #468bfa ccrA1
seq_206|12 #468bfa ccrA1
seq_207|12 #468bfa ccrA1
seq_214|12 #468bfa ccrA1
seq_217|12 #468bfa ccrA1
seq_221|12 #468bfa ccrA1
seq_223|12 #468bfa ccrA1
seq_224|11 #63ff7d ccrA4
seq_225|11 #f03232 ccrAn6
seq_227|10 #61d2ff ccrA2
seq_233|10 #61d2ff ccrA2
seq_237|10 #63ff7d ccrA4
seq_238|10 #63ff7d ccrA4
seq_244|10 #468bfa ccrA1
seq_245|10 #468bfa ccrA1
seq_246|10 #468bfa ccrA1
seq_254|9 #030bfc ccrA3
seq_275|9 #468bfa ccrA1
seq_300|9 #63ff7d ccrA4
seq_304|8 #468bfa ccrA1
seq_310|8 #61d2ff ccrA2
seq_314|8 #23db64 ccrAn12
seq_316|8 #468bfa ccrA1
seq_332|8 #23db64 ccrAn12
seq_337|8 #468bfa ccrA1
seq_340|8 #23db64 ccrAn12
seq_354|8 #468bfa ccrA1
seq_367|8 #468bfa ccrA1
