seq_1|2447 #61d2ff ccrA2
seq_2|2024 #61d2ff ccrA2
seq_3|1330 #61d2ff ccrA2
seq_4|370 #468bfa ccrA3
seq_5|334 #030bfc ccrA4
seq_6|283 #63ff7d ccrA1
seq_7|255 #61d2ff ccrA2
seq_8|202 #61d2ff ccrA2
seq_9|63 #61d2ff ccrA2
seq_10|58 #61d2ff ccrA2
seq_11|54 #61d2ff ccrA2
seq_12|41 #030bfc ccrA4
seq_13|40 #61d2ff ccrA2
seq_14|39 #030bfc ccrA4
seq_15|36 #63ff7d ccrA1
seq_16|32 #63ff7d ccrA1
seq_17|21 #23db64 ccrA5
seq_18|20 #030bfc ccrA4
seq_19|17 #63ff7d ccrA1
seq_20|16 #61d2ff ccrA2
seq_21|16 #61d2ff ccrA2
seq_22|15 #61d2ff ccrA2
seq_23|15 #61d2ff ccrA2
seq_24|15 #63ff7d ccrA1
seq_25|14 #61d2ff ccrA2
seq_26|13 #61d2ff ccrA2
seq_27|13 #009133 ccrAn12
seq_28|13 #ff9999 ccrAn13
seq_29|12 #63ff7d ccrA1
seq_30|12 #63ff7d ccrA1
seq_31|12 #61d2ff ccrA2
seq_32|11 #63ff7d ccrA1
seq_33|11 #63ff7d ccrA1
seq_34|11 #030bfc ccrA4
seq_35|11 #ff9999 ccrAn13
seq_36|10 #63ff7d ccrA1
seq_37|10 #61d2ff ccrA2
seq_38|10 #61d2ff ccrA2
seq_39|10 #030bfc ccrA4
seq_40|10 #ff9999 ccrAn13
seq_41|9 #63ff7d ccrA1
seq_42|9 #61d2ff ccrA2
seq_43|8 #61d2ff ccrA2
seq_44|8 #030bfc ccrA4
seq_45|7 #63ff7d ccrA1
seq_46|7 #61d2ff ccrA2
seq_47|7 #61d2ff ccrA2
seq_48|7 #61d2ff ccrA2
seq_49|7 #61d2ff ccrA2
seq_50|7 #030bfc ccrA4
seq_51|7 #030bfc ccrA4
seq_52|7 #23db64 ccrA5
seq_53|6 #63ff7d ccrA1
seq_54|6 #63ff7d ccrA1
seq_55|6 #61d2ff ccrA2
seq_56|6 #61d2ff ccrA2
seq_57|6 #61d2ff ccrA2
seq_58|6 #61d2ff ccrA2
seq_59|6 #61d2ff ccrA2
seq_60|6 #61d2ff ccrA2
seq_61|6 #61d2ff ccrA2
seq_62|6 #61d2ff ccrA2
seq_63|6 #030bfc ccrA4
seq_64|6 #030bfc ccrA4
seq_65|5 #63ff7d ccrA1
seq_66|5 #63ff7d ccrA1
seq_67|5 #63ff7d ccrA1
seq_68|5 #61d2ff ccrA2
seq_69|5 #61d2ff ccrA2
seq_70|5 #61d2ff ccrA2
seq_71|5 #61d2ff ccrA2
seq_72|5 #61d2ff ccrA2
seq_73|5 #61d2ff ccrA2
seq_74|5 #030bfc ccrA4
seq_75|5 #030bfc ccrA4
