"species"	"contigs"	"genome_size"	"sp"	"sp_ID"
"GCF_003040805.1_ASM304080v1_genomic.fna"	"Staphylococcus_agnetis"	31	2387126	"agnetis"	"Staphylococcus_agnetis__GCF_003040805.1_ASM304080v1_genomic.fna"
"GCF_003040835.1_ASM304083v1_genomic.fna"	"Staphylococcus_agnetis"	61	2429373	"agnetis"	"Staphylococcus_agnetis__GCF_003040835.1_ASM304083v1_genomic.fna"
"GCF_003040875.1_ASM304087v1_genomic.fna"	"Staphylococcus_agnetis"	95	2487825	"agnetis"	"Staphylococcus_agnetis__GCF_003040875.1_ASM304087v1_genomic.fna"
"GCF_003040895.1_ASM304089v1_genomic.fna"	"Staphylococcus_agnetis"	556	2583748	"agnetis"	"Staphylococcus_agnetis__GCF_003040895.1_ASM304089v1_genomic.fna"
"GCF_003040915.1_ASM304091v1_genomic.fna"	"Staphylococcus_agnetis"	87	2362314	"agnetis"	"Staphylococcus_agnetis__GCF_003040915.1_ASM304091v1_genomic.fna"
"GCF_003040935.1_ASM304093v1_genomic.fna"	"Staphylococcus_agnetis"	74	2365700	"agnetis"	"Staphylococcus_agnetis__GCF_003040935.1_ASM304093v1_genomic.fna"
"GCF_003040955.1_ASM304095v1_genomic.fna"	"Staphylococcus_agnetis"	104	2435239	"agnetis"	"Staphylococcus_agnetis__GCF_003040955.1_ASM304095v1_genomic.fna"
"GCF_003040965.1_ASM304096v1_genomic.fna"	"Staphylococcus_agnetis"	54	2406716	"agnetis"	"Staphylococcus_agnetis__GCF_003040965.1_ASM304096v1_genomic.fna"
"GCF_003040995.1_ASM304099v1_genomic.fna"	"Staphylococcus_agnetis"	111	2397729	"agnetis"	"Staphylococcus_agnetis__GCF_003040995.1_ASM304099v1_genomic.fna"
"GCF_003041015.1_ASM304101v1_genomic.fna"	"Staphylococcus_agnetis"	101	2400650	"agnetis"	"Staphylococcus_agnetis__GCF_003041015.1_ASM304101v1_genomic.fna"
"GCF_003041195.1_ASM304119v1_genomic.fna"	"Staphylococcus_agnetis"	86	2395652	"agnetis"	"Staphylococcus_agnetis__GCF_003041195.1_ASM304119v1_genomic.fna"
"GCF_003041215.1_ASM304121v1_genomic.fna"	"Staphylococcus_agnetis"	101	2452652	"agnetis"	"Staphylococcus_agnetis__GCF_003041215.1_ASM304121v1_genomic.fna"
"GCF_007097565.1_ASM709756v1_genomic.fna"	"Staphylococcus_agnetis"	34	2502817	"agnetis"	"Staphylococcus_agnetis__GCF_007097565.1_ASM709756v1_genomic.fna"
"GCF_007814015.1_ASM781401v1_genomic.fna"	"Staphylococcus_agnetis"	1	2345021	"agnetis"	"Staphylococcus_agnetis__GCF_007814015.1_ASM781401v1_genomic.fna"
"GCF_000737185.1_ASM73718v1_genomic.fna"	"Staphylococcus_agnetis"	45	2415997	"agnetis"	"Staphylococcus_agnetis__GCF_000737185.1_ASM73718v1_genomic.fna"
"GCF_001442815.1_ASM144281v1_genomic.fna"	"Staphylococcus_agnetis"	2	2503399	"agnetis"	"Staphylococcus_agnetis__GCF_001442815.1_ASM144281v1_genomic.fna"
"GCF_002114335.1_ASM211433v1_genomic.fna"	"Staphylococcus_agnetis"	69	2530341	"agnetis"	"Staphylococcus_agnetis__GCF_002114335.1_ASM211433v1_genomic.fna"
"GCF_002114365.1_ASM211436v1_genomic.fna"	"Staphylococcus_agnetis"	73	2527703	"agnetis"	"Staphylococcus_agnetis__GCF_002114365.1_ASM211436v1_genomic.fna"
"GCF_002145465.1_ASM214546v1_genomic.fna"	"Staphylococcus_agnetis"	68	2527984	"agnetis"	"Staphylococcus_agnetis__GCF_002145465.1_ASM214546v1_genomic.fna"
"GCF_002901865.1_ASM290186v1_genomic.fna"	"Staphylococcus_agnetis"	164	2491359	"agnetis"	"Staphylococcus_agnetis__GCF_002901865.1_ASM290186v1_genomic.fna"
"GCF_002994085.1_ASM299408v1_genomic.fna"	"Staphylococcus_agnetis"	58	2476450	"agnetis"	"Staphylococcus_agnetis__GCF_002994085.1_ASM299408v1_genomic.fna"
"GCF_002994105.1_ASM299410v1_genomic.fna"	"Staphylococcus_agnetis"	58	2450447	"agnetis"	"Staphylococcus_agnetis__GCF_002994105.1_ASM299410v1_genomic.fna"
"GCF_002994125.1_ASM299412v1_genomic.fna"	"Staphylococcus_agnetis"	53	2398109	"agnetis"	"Staphylococcus_agnetis__GCF_002994125.1_ASM299412v1_genomic.fna"
