seq_1|7720 #61d2ff ccrB2
seq_2|6130 #61d2ff ccrB2
seq_3|3678 #61d2ff ccrB2
seq_6|2252 #468bfa ccrB1
seq_7|2034 #030bfc ccrB3
seq_12|766 #61d2ff ccrB2
seq_13|568 #63ff7d ccrB4
seq_14|493 #61d2ff ccrB2
seq_16|377 #030bfc ccrB3
seq_20|208 #468bfa ccrB1
seq_21|180 #61d2ff ccrB2
seq_24|152 #468bfa ccrB1
seq_25|136 #468bfa ccrB1
seq_27|123 #61d2ff ccrB2
seq_29|112 #23db64 ccrBn3
seq_31|104 #009133 ccrBn5
seq_32|97 #468bfa ccrB1
seq_33|96 #23db64 ccrBn3
seq_36|87 #61d2ff ccrB2
seq_37|84 #ff9999 ccrBn11
seq_38|81 #23db64 ccrBn3
seq_39|80 #468bfa ccrB1
seq_40|75 #61d2ff ccrB2
seq_41|72 #23db64 ccrBn3
seq_44|68 #63ff7d ccrB4
seq_45|64 #63ff7d ccrB4
seq_47|64 #030bfc ccrB3
seq_48|64 #ff9999 ccrBn11
seq_49|63 #23db64 ccrBn3
seq_50|63 #468bfa ccrB1
seq_53|56 #23db64 ccrBn3
seq_54|56 #23db64 ccrBn3
seq_56|56 #009133 ccrBn5
seq_58|55 #61d2ff ccrB2
seq_60|54 #23db64 ccrBn3
seq_61|52 #23db64 ccrBn3
seq_63|52 #63ff7d ccrB4
seq_64|49 #f03232 ccrB6
seq_66|48 #468bfa ccrB1
seq_68|48 #009133 ccrBn5
seq_69|45 #468bfa ccrB1
seq_70|45 #468bfa ccrB1
seq_71|44 #61d2ff ccrB2
seq_73|42 #61d2ff ccrB2
seq_75|40 #61d2ff ccrB2
seq_78|40 #c90000 ccrB7
seq_79|40 #009133 ccrBn5
seq_80|40 #009133 ccrBn5
seq_82|39 #61d2ff ccrB2
seq_86|36 #61d2ff ccrB2
seq_87|36 #c90000 ccrB7
seq_88|35 #61d2ff ccrB2
seq_91|32 #468bfa ccrB1
seq_93|31 #63ff7d ccrB4
seq_95|30 #f03232 ccrB6
seq_96|28 #61d2ff ccrB2
seq_99|27 #61d2ff ccrB2
seq_100|27 #f03232 ccrB6
seq_101|27 #23db64 ccrBn3
seq_102|27 #61d2ff ccrB2
seq_103|27 #468bfa ccrB1
seq_104|27 #61d2ff ccrB2
seq_105|27 #468bfa ccrB1
seq_108|25 #61d2ff ccrB2
seq_110|24 #23db64 ccrBn3
seq_111|24 #61d2ff ccrB2
seq_112|24 #f03232 ccrB6
seq_113|24 #23db64 ccrBn3
seq_114|24 #009133 ccrBn5
seq_116|22 #61d2ff ccrB2
seq_117|22 #63ff7d ccrB4
seq_118|21 #61d2ff ccrB2
seq_119|21 #61d2ff ccrB2
seq_121|21 #c90000 ccrB7
seq_122|21 #61d2ff ccrB2
seq_124|20 #61d2ff ccrB2
seq_125|20 #61d2ff ccrB2
seq_126|20 #63ff7d ccrB4
seq_128|20 #63ff7d ccrB4
seq_129|20 #23db64 ccrBn3
seq_131|19 #61d2ff ccrB2
seq_134|18 #468bfa ccrB1
seq_135|18 #61d2ff ccrB2
seq_136|18 #468bfa ccrB1
seq_137|18 #468bfa ccrB1
seq_138|18 #468bfa ccrB1
seq_139|18 #468bfa ccrB1
seq_140|18 #468bfa ccrB1
seq_141|18 #23db64 ccrBn3
seq_142|18 #23db64 ccrBn3
seq_143|18 #468bfa ccrB1
seq_144|18 #23db64 ccrBn3
seq_145|18 #468bfa ccrB1
seq_146|18 #468bfa ccrB1
seq_147|18 #23db64 ccrBn3
seq_148|18 #468bfa ccrB1
seq_150|18 #009133 ccrBn5
seq_151|18 #468bfa ccrB1
seq_152|18 #009133 ccrBn5
seq_153|18 #63ff7d ccrB4
seq_155|16 #468bfa ccrB1
seq_156|16 #468bfa ccrB1
seq_157|16 #468bfa ccrB1
seq_158|16 #23db64 ccrBn3
seq_159|16 #61d2ff ccrB2
seq_161|16 #030bfc ccrB3
seq_162|16 #468bfa ccrB1
seq_163|16 #468bfa ccrB1
seq_164|16 #c90000 ccrB7
seq_165|16 #f03232 ccrB6
seq_166|16 #23db64 ccrBn3
seq_167|16 #009133 ccrBn5
seq_168|16 #009133 ccrBn5
seq_169|16 #009133 ccrBn5
seq_170|16 #009133 ccrBn5
seq_171|16 #468bfa ccrB1
seq_172|16 #468bfa ccrB1
seq_175|15 #61d2ff ccrB2
seq_176|15 #61d2ff ccrB2
seq_178|15 #61d2ff ccrB2
seq_180|15 #61d2ff ccrB2
seq_181|15 #61d2ff ccrB2
seq_182|15 #61d2ff ccrB2
seq_185|14 #23db64 ccrBn3
seq_186|14 #030bfc ccrB3
seq_188|14 #61d2ff ccrB2
seq_189|14 #ffe194 ccrB8
seq_190|14 #63ff7d ccrB4
seq_191|14 #63ff7d ccrB4
seq_192|14 #23db64 ccrBn3
seq_193|14 #23db64 ccrBn3
seq_198|12 #61d2ff ccrB2
seq_199|12 #61d2ff ccrB2
seq_200|12 #61d2ff ccrB2
seq_201|12 #61d2ff ccrB2
seq_204|12 #61d2ff ccrB2
seq_208|12 #61d2ff ccrB2
seq_209|12 #61d2ff ccrB2
seq_211|12 #61d2ff ccrB2
seq_212|12 #63ff7d ccrB4
seq_213|12 #61d2ff ccrB2
seq_215|12 #63ff7d ccrB4
seq_216|12 #23db64 ccrBn3
seq_218|12 #ff9999 ccrBn11
seq_219|12 #ff9999 ccrBn11
seq_220|12 #23db64 ccrBn3
seq_222|12 #23db64 ccrBn3
seq_228|10 #63ff7d ccrB4
seq_229|10 #63ff7d ccrB4
seq_232|10 #61d2ff ccrB2
seq_234|10 #61d2ff ccrB2
seq_235|10 #61d2ff ccrB2
seq_236|10 #63ff7d ccrB4
seq_239|10 #61d2ff ccrB2
seq_240|10 #63ff7d ccrB4
seq_241|10 #23db64 ccrBn3
seq_242|10 #63ff7d ccrB4
seq_243|10 #63ff7d ccrB4
seq_247|9 #c90000 ccrB7
seq_248|9 #468bfa ccrB1
seq_249|9 #23db64 ccrBn3
seq_250|9 #23db64 ccrBn3
seq_251|9 #61d2ff ccrB2
seq_252|9 #468bfa ccrB1
seq_253|9 #61d2ff ccrB2
seq_255|9 #468bfa ccrB1
seq_256|9 #468bfa ccrB1
seq_257|9 #468bfa ccrB1
seq_258|9 #468bfa ccrB1
seq_259|9 #23db64 ccrBn3
seq_260|9 #61d2ff ccrB2
seq_261|9 #468bfa ccrB1
seq_262|9 #61d2ff ccrB2
seq_263|9 #61d2ff ccrB2
seq_264|9 #61d2ff ccrB2
seq_265|9 #61d2ff ccrB2
seq_266|9 #23db64 ccrBn3
seq_267|9 #468bfa ccrB1
seq_268|9 #468bfa ccrB1
seq_269|9 #61d2ff ccrB2
seq_270|9 #468bfa ccrB1
seq_271|9 #468bfa ccrB1
seq_272|9 #468bfa ccrB1
seq_273|9 #f03232 ccrB6
seq_274|9 #468bfa ccrB1
seq_276|9 #23db64 ccrBn3
seq_277|9 #468bfa ccrB1
seq_278|9 #468bfa ccrB1
seq_279|9 #468bfa ccrB1
seq_280|9 #23db64 ccrBn3
seq_281|9 #468bfa ccrB1
seq_282|9 #468bfa ccrB1
seq_283|9 #468bfa ccrB1
seq_284|9 #468bfa ccrB1
seq_285|9 #23db64 ccrBn3
seq_286|9 #468bfa ccrB1
seq_287|9 #468bfa ccrB1
seq_289|9 #468bfa ccrB1
seq_290|9 #f03232 ccrB6
seq_291|9 #23db64 ccrBn3
seq_292|9 #009133 ccrBn5
seq_293|9 #468bfa ccrB1
seq_294|9 #468bfa ccrB1
seq_295|9 #468bfa ccrB1
seq_296|9 #23db64 ccrBn3
seq_297|9 #f03232 ccrB6
seq_298|9 #f03232 ccrB6
seq_299|9 #468bfa ccrB1
seq_301|8 #468bfa ccrB1
seq_302|8 #ffe194 ccrB8
seq_303|8 #468bfa ccrB1
seq_305|8 #ffe194 ccrB8
seq_306|8 #23db64 ccrBn3
seq_307|8 #030bfc ccrB3
seq_309|8 #030bfc ccrB3
seq_311|8 #030bfc ccrB3
seq_312|8 #030bfc ccrB3
seq_313|8 #63ff7d ccrB4
seq_315|8 #23db64 ccrBn3
seq_317|8 #468bfa ccrB1
seq_319|8 #23db64 ccrBn3
seq_320|8 #030bfc ccrB3
seq_321|8 #23db64 ccrBn3
seq_322|8 #030bfc ccrB3
seq_323|8 #030bfc ccrB3
seq_324|8 #030bfc ccrB3
seq_325|8 #030bfc ccrB3
seq_326|8 #468bfa ccrB1
seq_327|8 #468bfa ccrB1
seq_328|8 #468bfa ccrB1
seq_329|8 #468bfa ccrB1
seq_330|8 #030bfc ccrB3
seq_331|8 #23db64 ccrBn3
seq_333|8 #468bfa ccrB1
seq_334|8 #468bfa ccrB1
seq_335|8 #468bfa ccrB1
seq_336|8 #23db64 ccrBn3
seq_338|8 #23db64 ccrBn3
seq_339|8 #23db64 ccrBn3
seq_341|8 #468bfa ccrB1
seq_342|8 #f03232 ccrB6
seq_343|8 #f03232 ccrB6
seq_344|8 #61d2ff ccrB2
seq_345|8 #61d2ff ccrB2
seq_346|8 #61d2ff ccrB2
seq_347|8 #61d2ff ccrB2
seq_348|8 #61d2ff ccrB2
seq_349|8 #030bfc ccrB3
seq_350|8 #f03232 ccrB6
seq_351|8 #468bfa ccrB1
seq_352|8 #f03232 ccrB6
seq_353|8 #f03232 ccrB6
seq_355|8 #468bfa ccrB1
seq_356|8 #468bfa ccrB1
seq_357|8 #23db64 ccrBn3
seq_358|8 #468bfa ccrB1
seq_359|8 #009133 ccrBn5
seq_360|8 #23db64 ccrBn3
seq_361|8 #23db64 ccrBn3
seq_362|8 #f03232 ccrB6
seq_363|8 #468bfa ccrB1
seq_364|8 #009133 ccrBn5
seq_365|8 #23db64 ccrBn3
seq_366|8 #009133 ccrBn5
seq_368|8 #009133 ccrBn5
seq_369|8 #c90000 ccrB7
seq_370|8 #009133 ccrBn5
seq_371|8 #468bfa ccrB1
seq_372|8 #63ff7d ccrB4
seq_374|8 #23db64 ccrBn3
seq_375|8 #23db64 ccrBn3
seq_376|8 #030bfc ccrB3
seq_377|8 #468bfa ccrB1
seq_378|8 #23db64 ccrBn3
seq_379|8 #23db64 ccrBn3
seq_380|8 #f03232 ccrB6
seq_381|8 #f03232 ccrB6
seq_382|8 #ffe194 ccrB8
seq_384|8 #468bfa ccrB1
seq_385|8 #23db64 ccrBn3
seq_386|8 #ffe194 ccrB8
seq_387|8 #468bfa ccrB1
seq_388|8 #468bfa ccrB1
seq_390|8 #23db64 ccrBn3
seq_392|8 #23db64 ccrBn3
seq_393|8 #009133 ccrBn5
seq_394|8 #468bfa ccrB1
seq_395|8 #009133 ccrBn5
seq_396|8 #009133 ccrBn5
seq_397|8 #009133 ccrBn5
seq_398|8 #23db64 ccrBn3
seq_399|8 #009133 ccrBn5
seq_401|8 #468bfa ccrB1
seq_403|8 #468bfa ccrB1
seq_404|8 #f03232 ccrB6
seq_405|8 #468bfa ccrB1
seq_406|8 #23db64 ccrBn3
seq_407|8 #f03232 ccrB6
seq_408|8 #23db64 ccrBn3
seq_409|8 #030bfc ccrB3
seq_410|8 #ffe194 ccrB8
seq_413|7 #ffe194 ccrB8
seq_414|7 #f03232 ccrB6
seq_416|7 #ffe194 ccrB8
seq_417|7 #ffe194 ccrB8
seq_419|7 #23db64 ccrBn3
seq_422|7 #f03232 ccrB6
seq_423|7 #23db64 ccrBn3
seq_426|7 #23db64 ccrBn3
seq_427|7 #c90000 ccrB7
seq_430|7 #468bfa ccrB1
seq_431|7 #23db64 ccrBn3
seq_432|7 #23db64 ccrBn3
seq_433|7 #f03232 ccrB6
seq_434|7 #ffe194 ccrB8
seq_435|7 #23db64 ccrBn3
seq_436|7 #468bfa ccrB1
seq_437|7 #23db64 ccrBn3
seq_438|7 #030bfc ccrB3
seq_439|7 #ffe194 ccrB8
seq_440|7 #23db64 ccrBn3
seq_441|7 #23db64 ccrBn3
seq_442|7 #23db64 ccrBn3
seq_443|7 #468bfa ccrB1
seq_444|7 #23db64 ccrBn3
seq_445|7 #23db64 ccrBn3
seq_446|7 #23db64 ccrBn3
seq_447|7 #030bfc ccrB3
seq_448|7 #030bfc ccrB3
seq_449|7 #23db64 ccrBn3
seq_450|7 #23db64 ccrBn3
