seq_1|2569 #000000 ccrB2
seq_3|2121 #000000 ccrB2
seq_5|1389 #000000 ccrB2
seq_11|310 #FF0000 ccrB3
seq_12|295 #808000 ccrB4
seq_15|257 #000000 ccrB2
seq_17|188 #000000 ccrB2
seq_22|63 #FF0000 ccrB3
seq_23|60 #000000 ccrB2
seq_32|41 #000000 ccrB2
seq_40|34 #808000 ccrB4
seq_41|32 #808000 ccrB4
seq_42|31 #000000 ccrB2
seq_43|30 #FF8000 ccrB1
seq_44|25 #000000 ccrB2
seq_49|18 #808000 ccrB4
seq_54|16 #80FF00 ccrB6
seq_59|14 #FF8000 ccrB1
seq_62|14 #000080 ccrB3
seq_63|14 #000000 ccrB2
seq_66|13 #FF0080 ccrBn12
seq_67|13 #FF0080 ccrBn12
seq_71|13 #000000 ccrB2
seq_72|13 #000000 ccrB2
seq_74|13 #808080 ccrBn9
seq_77|12 #000080 ccrB3
seq_79|12 #000000 ccrB2
seq_83|11 #000000 ccrB2
seq_84|11 #808000 ccrB4
seq_85|11 #000000 ccrB2
seq_89|10 #000000 ccrB2
seq_92|10 #808000 ccrB4
seq_94|10 #808000 ccrB4
seq_98|10 #000080 ccrB3
seq_99|10 #000080 ccrB3
seq_102|9 #80FF00 ccrB6
seq_103|9 #FF8080 ccrBn2
seq_104|9 #80FF00 ccrB6
seq_105|9 #000000 ccrB2
seq_106|9 #000000 ccrB2
seq_108|9 #000000 ccrB2
seq_111|8 #000000 ccrB2
seq_112|8 #FF0000 ccrB3
seq_113|8 #000000 ccrB2
seq_114|8 #000080 ccrB3
seq_115|8 #000000 ccrB2
seq_118|8 #000080 ccrB3
seq_121|8 #808000 ccrB4
seq_122|7 #FF8000 ccrB1
seq_123|7 #808000 ccrB4
seq_124|7 #000000 ccrB2
seq_126|7 #000000 ccrB2
seq_128|7 #000000 ccrB2
seq_130|7 #80FF80 ccrB7
seq_134|7 #000000 ccrB2
seq_135|7 #000000 ccrB2
