DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
#DATASET_LABEL label1
#DATASET_LABEL label1
DATASET_LABEL ccrA_allotype_80

#dataset color (can be changed later)
#COLOR #ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1
LEGEND_COLORS #A6CEE3 #1F78B4 #B2DF8A #33A02C #FB9A99 #E31A1C #FDBF6F #FF7F00 #CAB2D6 #6A3D9A #FFFF99 #B15928 #d9d9d9
#LEGEND_LABELS ccrA ccrB ccrC ccrN1 ccrN2 ccrN3 ccrN4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
#STRIP_WIDTH 25

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)
#9606 #ff0000 Human

#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed. 
#9606|5664 rgba(0,255,0,0.5)

seq_2|2463 #000000 ccrA2
seq_4|2060 #000000 ccrA2
seq_6|1368 #000000 ccrA2
seq_8|390 #800000 ccrA3
seq_10|337 #008000 ccrA4
seq_13|291 #808000 ccrA1
seq_14|266 #000000 ccrA2
seq_16|206 #000000 ccrA2
seq_21|72 #000000 ccrA2
seq_24|60 #000000 ccrA2
seq_26|55 #000000 ccrA2
seq_27|45 #008000 ccrA4
seq_28|43 #000000 ccrA2
seq_35|39 #008000 ccrA4
seq_37|37 #808000 ccrA1
seq_39|34 #808000 ccrA1
seq_45|23 #00FF00 ccrA5
seq_46|21 #008000 ccrA4
seq_48|19 #000000 ccrA2
seq_50|18 #80FF00 ccrAn17
seq_53|16 #000000 ccrA2
seq_55|15 #80FF00 ccrAn17
seq_56|15 #000000 ccrA2
seq_57|15 #000000 ccrA2
seq_58|15 #000000 ccrA2
seq_60|14 #000080 ccrAn9
seq_64|14 #808000 ccrA1
seq_65|13 #000000 ccrA2
seq_68|13 #000000 ccrA2
seq_69|13 #808000 ccrA1
seq_70|13 #800080 ccrAn15
seq_75|12 #808000 ccrA1
seq_76|12 #000000 ccrA2
seq_80|12 #808000 ccrA1
seq_82|11 #008000 ccrA4
seq_86|11 #808000 ccrA1
seq_87|11 #000080 ccrAn9
seq_88|10 #808000 ccrA1
seq_93|10 #008000 ccrA4
seq_95|10 #000000 ccrA2
seq_96|10 #008000 ccrA4
seq_100|10 #000080 ccrAn9
seq_101|9 #000000 ccrA2
seq_107|9 #000000 ccrA2
seq_120|8 #008000 ccrA4
seq_127|7 #000000 ccrA2
seq_131|7 #808000 ccrA1
seq_132|7 #000000 ccrA2
seq_133|7 #00FF00 ccrA5
seq_136|7 #000000 ccrA2
seq_137|7 #000000 ccrA2
seq_140|7 #000000 ccrA2
seq_141|7 #008000 ccrA4
seq_145|6 #000000 ccrA2
seq_146|6 #000000 ccrA2
seq_147|6 #008000 ccrA4
seq_148|6 #008000 ccrA4
seq_151|6 #808000 ccrA1
seq_152|6 #000000 ccrA2
seq_153|6 #000000 ccrA2
seq_154|6 #000000 ccrA2
seq_159|6 #000000 ccrA2
seq_161|6 #000000 ccrA2
seq_164|6 #000000 ccrA2
seq_166|6 #000000 ccrA2
seq_170|6 #808000 ccrA1
seq_174|6 #80FF00 ccrAn17
seq_179|5 #808000 ccrA1
seq_181|5 #008000 ccrA4
seq_182|5 #808000 ccrA1
seq_185|5 #008000 ccrA4
seq_187|5 #000000 ccrA2
seq_188|5 #008080 ccrAn3
seq_191|5 #808080 ccrAn16
seq_192|5 #00FF80 ccrAn6
seq_194|5 #008000 ccrA4
seq_195|5 #000000 ccrA2
seq_196|5 #000000 ccrA2
seq_200|5 #000000 ccrA2
seq_201|5 #000000 ccrA2
seq_203|5 #808000 ccrA1
seq_204|5 #000080 ccrAn9
seq_207|4 #000000 ccrA2
seq_210|4 #008000 ccrA4
seq_217|4 #000000 ccrA2
seq_219|4 #008000 ccrA4
seq_220|4 #000000 ccrA2
seq_224|4 #000000 ccrA2
seq_230|4 #000000 ccrA2
seq_233|4 #000000 ccrA2
seq_235|4 #008000 ccrA4
seq_243|4 #000080 ccrAn9
seq_244|4 #000080 ccrAn9
seq_246|4 #80FF80 ccrAn8
seq_248|4 #808000 ccrA1
seq_249|3 #808000 ccrA1
seq_250|3 #008000 ccrA4
seq_251|3 #808000 ccrA1
seq_254|3 #808000 ccrA1
seq_255|3 #008000 ccrA4
seq_256|3 #008000 ccrA4
seq_260|3 #008000 ccrA4
seq_261|3 #808000 ccrA1
seq_262|3 #008000 ccrA4
seq_264|3 #800080 ccrAn15
seq_271|3 #000000 ccrA2
seq_273|3 #008080 ccrAn3
seq_274|3 #000000 ccrA2
