seq_15|466 #61d2ff ccrC1
seq_17|339 #61d2ff ccrC1
seq_34|95 #61d2ff ccrC1
seq_35|88 #468bfa ccrC2
seq_52|56 #61d2ff ccrC1
seq_74|40 #61d2ff ccrC1
seq_76|40 #61d2ff ccrC1
seq_81|39 #61d2ff ccrC1
seq_84|38 #61d2ff ccrC1
seq_85|37 #61d2ff ccrC1
seq_97|28 #61d2ff ccrC1
seq_107|26 #61d2ff ccrC1
seq_120|21 #61d2ff ccrC1
seq_154|17 #61d2ff ccrC1
seq_160|16 #468bfa ccrC2
seq_179|15 #61d2ff ccrC1
seq_195|13 #61d2ff ccrC1
seq_205|12 #61d2ff ccrC1
seq_210|12 #61d2ff ccrC1
seq_226|10 #61d2ff ccrC1
seq_230|10 #61d2ff ccrC1
seq_231|10 #61d2ff ccrC1
seq_288|9 #61d2ff ccrC1
seq_308|8 #61d2ff ccrC1
seq_318|8 #61d2ff ccrC1
seq_415|7 #61d2ff ccrC1
seq_424|7 #61d2ff ccrC1
seq_428|7 #61d2ff ccrC1
seq_466|6 #61d2ff ccrC1
seq_485|6 #61d2ff ccrC1
seq_486|6 #61d2ff ccrC1
seq_491|6 #61d2ff ccrC1
seq_528|6 #61d2ff ccrC1
seq_535|6 #61d2ff ccrC1
seq_536|6 #61d2ff ccrC1
seq_551|5 #61d2ff ccrC1
seq_552|5 #61d2ff ccrC1
seq_561|5 #61d2ff ccrC1
seq_601|4 #61d2ff ccrC1
seq_605|4 #61d2ff ccrC1
seq_611|4 #61d2ff ccrC1
seq_621|4 #61d2ff ccrC1
seq_622|4 #61d2ff ccrC1
seq_623|4 #61d2ff ccrC1
seq_630|4 #61d2ff ccrC1
seq_631|4 #61d2ff ccrC1
seq_639|4 #61d2ff ccrC1
seq_682|4 #61d2ff ccrC1
seq_701|4 #61d2ff ccrC1
seq_747|3 #61d2ff ccrC1
seq_753|3 #61d2ff ccrC1
seq_754|3 #61d2ff ccrC1
seq_757|3 #61d2ff ccrC1
seq_782|3 #61d2ff ccrC1
seq_783|3 #61d2ff ccrC1
seq_788|3 #61d2ff ccrC1
seq_796|3 #61d2ff ccrC1
seq_798|3 #61d2ff ccrC1
seq_841|3 #61d2ff ccrC1
seq_853|3 #61d2ff ccrC1
seq_854|3 #468bfa ccrC2
seq_865|3 #61d2ff ccrC1
seq_868|3 #61d2ff ccrC1
seq_872|3 #61d2ff ccrC1
seq_876|3 #61d2ff ccrC1
